INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목1', '아이디1', '본문1', 1 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목2', '아이디2', '본문2', 2 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목3', '아이디3', '본문3', 3 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목4', '아이디4', '본문4', 4 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목5', '아이디5', '본문5', 5 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목6', '아이디6', '본문6', 6 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목7', '아이디7', '본문7', 7 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목8', '아이디8', '본문8', 8 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목9', '아이디9', '본문9', 9 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목10', '아이디10', '본문10', 10 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목11', '아이디11', '본문11', 11 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목12', '아이디12', '본문12', 12 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목13', '아이디13', '본문13', 13 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목14', '아이디14', '본문14', 14 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목15', '아이디15', '본문15', 15 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목16', '아이디16', '본문16', 16 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목17', '아이디17', '본문17', 17 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목18', '아이디18', '본문18', 18 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목19', '아이디19', '본문19', 19 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목20', '아이디20', '본문20', 20 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목21', '아이디21', '본문21', 21 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목22', '아이디22', '본문22', 22 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목23', '아이디23', '본문23', 23 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목24', '아이디24', '본문24', 24 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목25', '아이디25', '본문25', 25 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목26', '아이디26', '본문26', 26 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목27', '아이디27', '본문27', 27 );
